Company Code,Company Name,Category,Registration Status,Validity Period,Bumiputera Status,Bumiputera Validity,Certificate No,Classifications
SA2013785,NISAZIERA ENTERPRISE,Works,Valid,21/10/2026,yes,21/10/2026,UPK-K/12379,"E-I-1, E-I-2iia, E-I-2iib, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b, E-VI-5b"
SA20160918,NK DYNAMIC,Works,Expired,26/03/2020,yes,26/03/2020,UPK-K/09923,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SA2010397,NOURISH PAPERMINT ENTERPRISE,Works,Valid,20/01/2027,yes,20/01/2027,UPK-K/11115,"F-I-1, F-II-5a, F-II-5b, F-II-5c, F-III-1a, F-III-1b, F-III-1c"
SA20160820,NUR REKA BUILDERS,Works,Expired,3/3/2026,yes,3/3/2026,UPK-K/09791 & UPK-B/04828,"D-I-1, D-I-2ia, D-I-2iia, D-I-2ib, D-I-2iib, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-II-6b, D-II-7, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-III-4a, D-III-4b, D-III-4c, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-4a, D-IV-4b"
SA20170544,ONE FAMILY ENTERPRISE,Works,Valid,2/2/2027,yes,2/2/2027,UPK-K/12437,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA2010766,ONE MAS RICE CO.,Works,Expired,11/1/2025,yes,11/1/2025,UPKJ/W/003592 & UPK-B/05534,F-II-5a
287/97,PEN-ENSURAI ENTERPRISE,Works,Expired,30/12/2024,yes,30/12/2024,UPK-K/11769,"D-I-1, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-II-6b, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-IV-1a, D-IV-1b, D-VI-5ia, D-VI-5iia, D-VI-5b"
SA20091024,PERKASA BAKTI ENGINEERING,Works,Valid,16/02/2027,yes,16/02/2027,A/4618VOL.I(21),"D-I-1, D-I-2ia, D-I-2iia, D-I-2ib, D-I-2iib, D-I-3ia, D-I-3iia, D-I-4a, D-I-4b, D-I-4c, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-3a, D-II-3b, D-II-3c, D-II-4, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-4a, D-IV-4b, D-VI-2, D-VI-5ia, D-VI-5iia, D-VI-5b, D-VI-5c, D-VI-5d, C-III-1a, C-III-1b, C-III-1d, C-III-1e, C-III-2a, C-III-2b, C-III-2c, C-III-2d, C-III-3a, C-III-3b, C-III-3c, C-III-4a, C-III-4b, C-III-4c"
673/01,PIRING ENTERPRISE,Works,Expired,13/03/2025,yes,13/03/2025,UPK-K/12128 & UPK-B/05554,"F-I-1, F-I-2iia, F-I-2ib, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a, F-III-1a"
SA2012451,PRETTY ENTERPRISE,Works,Valid,16/03/2027,yes,16/03/2027,"UPK-K/12453, UPK-K/13120 & UPK-B/05643","F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c"
SA20150825,PUNCAK LIAN JAYA,Works,Expired,2/10/2025,yes,2/10/2025,UPK-K/09134,"F-I-1, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-III-1a, F-III-1b, F-III-2a"
SA20180911,QAISHA ENTERPRISE,Works,Valid,7/12/2027,yes,7/12/2027,UPK-K/14346 & UPK-B/06057,"F-I-2iib, F-II-5a"
556/99,QURRATULAIN GENERAL TRADING,Works,Expired,28/10/2023,yes,28/10/2023,UPK-K/10603,"F-I-2ia, F-I-2iia, F-II-1a, F-II-1b, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SA20190093,R/B MENYAN ENTERPRISE,Works,Expired,17/02/2026,yes,17/02/2026,UPK-K/14704,"F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-III-1a, E-III-1e, E-III-2c, E-III-2d"
